coord;barco;hit
a1;True;True
a2;True;True
a3;True;True
a4;True;True
a5;True;True
a6;False;False
a7;True;False
a8;False;False
a9;False;False
a10;False;False
b1;False;False
b2;False;False
b3;False;True
b4;False;False
b5;False;False
b6;False;False
b7;True;False
b8;False;False
b9;False;False
b10;False;False
c1;False;False
c2;False;False
c3;False;False
c4;False;False
c5;False;False
c6;False;False
c7;True;False
c8;False;False
c9;False;False
c10;False;False
d1;False;False
d2;False;False
d3;False;False
d4;True;True
d5;False;False
d6;False;False
d7;False;False
d8;False;False
d9;False;False
d10;False;False
e1;False;False
e2;False;False
e3;False;False
e4;True;True
e5;False;False
e6;False;False
e7;False;False
e8;False;False
e9;False;False
e10;False;False
f1;False;False
f2;False;False
f3;False;False
f4;True;False
f5;False;False
f6;False;False
f7;False;False
f8;False;False
f9;False;False
f10;False;False
g1;False;False
g2;False;False
g3;True;False
g4;True;False
g5;True;False
g6;True;False
g7;False;False
g8;False;False
g9;False;False
g10;False;False
h1;False;False
h2;False;False
h3;False;False
h4;False;False
h5;False;False
h6;False;True
h7;False;False
h8;False;False
h9;True;False
h10;True;False
i1;False;False
i2;False;False
i3;False;False
i4;False;False
i5;False;False
i6;False;False
i7;False;False
i8;False;False
i9;False;False
i10;False;False
j1;False;False
j2;False;False
j3;False;False
j4;False;False
j5;False;False
j6;False;False
j7;False;False
j8;False;False
j9;False;True
j10;False;False
