coord;barco;hit
a1;False;True
a2;False;False
a3;False;False
a4;False;False
a5;False;False
a6;False;False
a7;False;False
a8;False;False
a9;False;False
a10;False;False
b1;False;False
b2;False;False
b3;False;False
b4;False;False
b5;False;False
b6;False;False
b7;False;False
b8;False;False
b9;False;False
b10;False;False
c1;True;True
c2;True;True
c3;True;True
c4;True;True
c5;True;True
c6;True;True
c7;True;True
c8;True;True
c9;True;True
c10;True;True
d1;True;True
d2;True;True
d3;True;True
d4;True;True
d5;True;True
d6;True;True
d7;True;True
d8;False;True
d9;False;True
d10;False;False
e1;False;False
e2;False;False
e3;False;False
e4;False;False
e5;False;False
e6;False;False
e7;False;False
e8;False;False
e9;False;False
e10;False;False
f1;False;False
f2;False;False
f3;False;False
f4;False;False
f5;False;False
f6;False;False
f7;False;False
f8;False;False
f9;False;False
f10;False;False
g1;False;False
g2;False;False
g3;False;False
g4;False;False
g5;False;False
g6;False;False
g7;False;False
g8;False;False
g9;False;False
g10;False;False
h1;False;False
h2;False;False
h3;False;False
h4;False;False
h5;False;False
h6;False;False
h7;False;False
h8;False;False
h9;False;False
h10;False;False
i1;False;False
i2;False;False
i3;False;False
i4;False;False
i5;False;False
i6;False;False
i7;False;False
i8;False;False
i9;False;False
i10;False;False
j1;False;False
j2;False;False
j3;False;False
j4;False;False
j5;False;False
j6;False;False
j7;False;False
j8;False;False
j9;False;False
j10;False;False
